#	1	10	100	1000	10000	100000	1000000	
1	24682	19736	23084	27203	47051	182606	1547764	
2	26281	21364	25699	27830	47118	181111	1549251	
3	22636	21918	25016	27704	54285	185158	1546439	
4	21624	20529	21979	29650	50659	183828	1544561	
5	22638	21273	22437	27823	50596	183093	1544420	
6	21324	22799	21834	27535	49203	182309	1544969	
7	21257	23740	25002	28587	51485	182121	1537710	
8	21404	21289	23321	29803	50813	182271	1581185	
9	21610	22405	21857	31227	48599	182357	1550570	
10	21217	21089	20869	32437	46619	182799	1541678	
