#	1	10	100	1000	10000	100000	1000000	
1	32643	33394	33904	46761	76247	208080	1407482	
2	31909	37162	33972	50343	75685	198297	1409371	
3	33057	35279	35139	46658	68522	197892	1417458	
4	33513	36852	35016	46758	73467	200254	1423205	
5	31342	34534	35237	50707	77261	202895	1423999	
6	36088	35288	32139	47943	70873	207138	1446377	
7	34009	31715	33672	50129	72020	198573	1428303	
8	34135	34708	37796	48896	70217	202916	1431541	
9	34061	33715	35117	48201	76425	200975	1426438	
10	31721	33694	34748	46745	73290	201316	1427481	
