#	1	10	100	1000	10000	100000	1000000	
1	21418	22107	20316	31836	48544	207507	1790602	
2	21165	23085	22902	28635	47592	206125	1769194	
3	25676	20710	21325	27679	48089	211091	1785243	
4	23024	21375	22622	28873	48880	209164	1749437	
5	20964	20565	21546	32228	48542	205690	1778315	
6	22433	22699	25851	28997	50292	208445	1814269	
7	23179	21102	22508	26810	49449	205158	1816661	
8	22904	23973	25487	30515	50587	211098	1789810	
9	23538	20299	20321	26612	50996	218846	1759328	
10	21942	23741	22953	31237	47975	212335	1804279	
