#	1	10	100	1000	10000	100000	1000000	
1	35655	38269	36247	47372	82106	224004	1608368	
2	35090	32595	34393	54049	72406	223210	1613758	
3	33207	32304	36068	49216	74681	225385	1617969	
4	32938	32842	37777	49551	75736	222240	1604784	
5	34190	34842	35395	49103	75585	221697	1631885	
6	34535	32021	35303	48671	74083	224181	1626518	
7	33342	32001	36048	54147	74829	221274	1626595	
8	33270	34006	33997	49316	75520	226221	1614310	
9	32888	32799	35199	45462	76610	209676	1628265	
10	33532	36073	41430	45997	73848	230780	1637749	
